SampleTest
PARTNUM,SITEM,BARCODE,NGITEM,TRES,MNO,CDATE,CTIME,SR01
CA9,FLUKE,G5Y71538WEMHP195KZM6,PIXELOPENSHORTTEST_OOS,PixelOpenShortTest_OOS,L1FLEX2,2017422,2013,764074
CA9,FLUKE,G5Y71538WAVHP195PZM6,PASS,OK,L1FLEX1,2017422,2013,764099
CA9,FLUKE,G5Y71538WAVHP195PZM6,PASS,OK,L1FLEX2,2017422,2014,764074
CA9,FLUKE,G5Y71538WH0HP195XZM6,POWERTEST_OOS,PowerTest_OOS,L1FLEX3,2017422,2018,860025
CA9,FLUKE,G5Y71538WDNHP195MZM6,PIXELOPENSHORTTEST_OOS,PixelOpenShortTest_OOS,L1FLEX4,2017422,2019,763020
CA9,FLUKE,G5Y71538WH0HP195XZM6,POWERTEST_OOS,PowerTest_OOS,L1FLEX1,2017422,2019,764099
CA9,FLUKE,G5Y71538WDNHP195MZM6,PIXELOPENSHORTTEST_OOS,PixelOpenShortTest_OOS,L1FLEX3,2017422,2019,860025
CA9,FLUKE,G5Y71538WH0HP195XZM6,POWERTEST_OOS,PowerTest_OOS,L1FLEX2,2017422,2020,764074
CA9,FLUKE,G5Y71538WDNHP195MZM6,PIXELOPENSHORTTEST_OOS,PixelOpenShortTest_OOS,L1FLEX1,2017422,2020,764099
CA9,FLUKE,G5Y71538WH0HP195XZM6,POWERTEST_OOS,PowerTest_OOS,L1FLEX4,2017422,2020,763020
CA9,FLUKE,G5Y71538WAVHP195PZM6,PASS,OK,L1FLEX3,2017422,2022,860025
CA9,FLUKE,G5Y71538WAVHP195PZM6,PASS,OK,L1FLEX4,2017422,2022,763020
CA9,FLUKE,G5Y71538X5JHP195EZM6,X758FLEXOPENED,X758FlexOpened,L1FLEX1,2017422,2024,764099
CA9,FLUKE,G5Y71538X5JHP195EZM6,X758FLEXOPENED,X758FlexOpened,L1FLEX2,2017422,2025,764074
CA9,FLUKE,G5Y71538X5JHP195EZM6,X758FLEXOPENED,X758FlexOpened,L1FLEX3,2017422,2026,860025
CA9,FLUKE,G5Y71538X5JHP195EZM6,X758FLEXOPENED,X758FlexOpened,L1FLEX4,2017422,2026,763020
